artist,country,year,country-guess,source,genres
Horacio,,2009,,,
Horacio Cruz,,2016,,,
Hostage,,2008,,,
Hot Chip,,2009,,,
Hot City,,2010,,,
Hot Fuzz,NZ,2011,NZ,,
Hot Natured,,2013,,,
Hot Since 82,,2014,,,
Hot Since 82 & Joe T. Vannelli,,2013,,,
Hotmood,,2025,,,
House Of Downtown,NZ,2000,NZ,,
House Of House,,2009,,,
House of Pain,,2005,,,
Howie B,,,,,
Hraach,,2015,,,
Hubie Davison,,2020,,,
Hudson Mohawke & Nikki Nair,,2023,,,
Hugg & Pepp,,2009,,,
Hullabalo0,,2021,,,
Human Movement,,2019,,,
Human Resource,,2009,,,
Hush & Sleep,,2018,,,
Hussle Club,,2010,,,
Huxley,,2022,,,
Huxley & Shenoda,,2010,,,
Hyan,NZ,2025,NZ,,
Hyan & Blem,NZ,2025,NZ,,
Hybrasil,,2022,,,
Hypho,,2023,,,
Hypho & Chef Boyarbeatz,,2023,,,
Hystereo,,2010,,,
"Håkan Hardenberger, Iona Brown, Academy of St Martin in the Fields & John Constable",,1988,,,
"Hélène Grimaud, The Deutsche Kammerphilharmonie Bremen & Florian Donderer",,2008,,,
I Am Finn,,2006,,,
I Musici & Felix Ayo,,1986,,,
I. JORDAN,,2019,,,
INVT,,2022,,,
ISAN,,2001,,,
IVY,NZ,2025,NZ,,
Ian Pooley,,2000,,,
Icarus,,2023,,,
Icicle,,2022,,,
Ida Engberg,,2014,,,
Idiotproof,,2010,,,
Idriss Chebak,,2010,,,
Iglesias & GruuvElement's,,2025,,,
"Iglesias, GruuvElement's & Marshall James",,2025,,,
Ijahman,,1981,,,
IkE,,2021,,,
Illusion Recordings presents NY STOMP,,2012,,,
Imanbek & Goodboys,,2021,,,
In Colour,,2017,,,
Inbeat,,2013,,,
India Jordan,,2020,,,
Induceve,,2010,,,
Industrial Nature,,2022,NZ,https://musicbrainz.org/artist/b352e1e8-15ec-446c-a86e-986e76d60309,
Infekto,,2005,,,
Infinity Ink,,2013,,,
Inigo Kennedy,,2024,,,
Inja,,2022,,,
Inland Knights,,2017,,,
"Inner City, Kevin Saunderson",,2012,,,
"Innocente, Horatio & Larisse Van Doorn",,2022,,,
Inossi & Yrsa Blennerhed,,2012,,,
International Anything,,2018,,,
Interplanetary Criminal,,2022,,,
Interplanetary Criminal & Original Koffee,,2025,,,
Inverto,,2012,,,
"Iona Brown, Academy of St Martin in the Fields, Håkan Hardenberger & John Constable",,1988,,,
Iorie,,2019,,,
Iron Curtis,,2025,,,
IsGwan,,2023,,,
Isaac Chambers,NZ,2020,NZ,https://musicbrainz.org/artist/1977885c-8a46-45ec-8f8f-525163799c1e,"Dub; Progressive; Techno"
Isabelle Faust,,2010,,,
Isolée,,2017,,,
Ital Tek,,2013,,,
"Italiks, Deep Fried Dub, Haszari",,2024,,,
"Italiks, Haszari",,2023,,,
Itch-E & Scratch-E,,2010,,,
Ito and Star,,2007,,,
Itzhak Perlman,,1988,,,
Ivan Allard,,2009,,,
Ivy Barkakati,,2021,,,
Ivy Lab,,2015,,,
Ivy Lab & Halogenix,,2015,,,
Iz & Diz,,2006,,,
J Cawte,,2012,,,
J Majik ft. Kathy Brown,,2001,,,
J. Phlip,,2013,,,
J.Trill,,2021,,,
JAY,,2020,,,
JDP,,2008,,,
JF pres. Smokecream,,2008,,,
JT Donaldson,,2024,,,
Jack Beats,,2009,,,
Jack Beats & MC Dynamite,,2009,,,
Jack Fell Down,,2012,,,
Jackinori & Leon Dipace,,2008,,,
Jacob Cooper & Mellissa Hughes,,2014,,,
Jacques K,,2018,,,
Jaga,,2020,,,
Jah Shaka,,1992,,,
Jahcoozi,,2009,,,
Jaimie Fanatic & Jesse Voorn,,2009,,,
Jak-Z,,2009,,,
Jakes,,2009,,,
JakoJako,,2020,,,
Jaksaw,,2008,,,
"James Bowman, Christopher Hogwood & Academy of Ancient Music",,1989,,,
James Curd,,2018,,,
James Harcourt,,2008,,,
James Massiah,,2020,,,
James Ruskin,,2023,,,
James Ruskin & DVS1,,2021,,,
James Ruskin & Mark Broom,,2021,,,
James Shinra,,2018,,,
James Welsh,,2017,,,
James Zabiela,,2011,,,
Jamie Doesn't Like Salad,NZ,2025,NZ,,
Jamie Fanatic,,2008,,,
Jamie Jones,,2013,,,
Jamie Jones & Nicole Moudaber,,2020,,,
Jamie xx,,2011,,,
Jammin' (aka Zinc),,2002,,,
Jammz,,2015,,,
Jan Driver & Oliver $,,2010,,,
Jane's Addiction,,1988,,,
Japanese Popstars,,2008,,,
Jaron Lanier,,1994,,,
Jasmine Infiniti,,2020,,,
Jasper Wolff & Maarten Mittendorff,,2018,,,
Java,,2000,,,
Javi Lopez,,2009,,,
Jay Robinson,,2012,,,
Jay Tripwire,,2021,,,
Jay Tripwire pres. 8 Channels,,2009,,,
JayCamel,,2017,,,
Jayforce,,2009,,,
Jaymo & Andy George,,2012,,,
Jaymo & Hausewerks,,2006,,,
Jayou,,2009,,,
Jazz Liberatorz,,2009,,,
Je deviens dj en 3 jours,,2009,,,
Jean Nipon,,2013,,,
Jeannette Sorrell & Apollo's Fire,,2011,,,
Jedi Knights,,1996,,,
Jens-Uwe Beyer,,2024,,,
Jeremy Olander,,2024,,,
Jeroen Search,,2025,,,
Jerome Hill,,2017,,,
Jeru the Damaja,,1993,,,
Jesper Ryom,,2013,,,
Jess & Crabbe,,2013,,,
Jesse Bru,,2015,,,
Jesse Garcia,,2007,,,
Jesse Gavelle,,2013,,,
Jesse Jacob,,2024,,,
Jesse Rose,,2010,,,
Jesse Rose & Action Man,,2008,,,
Jesse Rose & Riva Starr,,2010,,,
Jesse Rose & Sinden,,2006,,,
Jesse Rose vs Made To Play All-stars,,2010,,,
Jessica Skye,,2023,,,
Jessse,,2024,,,
Jesus Jackson,,2008,,,
Jesus Soblechero,,2016,,,
Jet Jaguar,NZ,2020,NZ,https://musicbrainz.org/artist/fec4c5b8-9e1f-4bb0-950d-30697552232d,"Ambient; Breakbeat; Electronica"
Jet Project,,2009,,,
Jett,,2012,,,
Jherek Bischoff,,2016,,,
Jill Scott,,2004,,,
Jim Rivers,,2007,,,
Jimi Jules,,2018,,,
Jimmy Chronic,,2007,,,
Jimpster,,2017,,,
Jinx In Dub,,2012,,,
JoJo De Freq,,2007,,,
Joachim Pastor,,2019,,,
Joakim,,2009,,,
Joe Budden,,2007,,,
Joe Ford,,2018,,,
Joe Goddard,,2017,,,
Joe Santa Maria,,2023,,,
Joe Satriani,,1987,,,
Joe Tatton Trio,,2024,,,
Joee Irwin,,2009,,,
Joefarr,,2012,,,
Joey Negro,,1998,,,
Joey Valence & Brae,,2022,,,
Joey Youngman,,2007,,,
Johannes Brecht,,2014,,,
John Acquaviva & Olivier Giacomotto,,2013,,,
John Coltrane & Johnny Hartman,,1963,,,
John Dahlback,,2007,,,
John Dahlback & ATFC,,2009,,,
John Dahlbäck,,2008,,,
John Holt,,2002,,,
John Lill,,1998,,,
John Metcalfe,,2015,,,
John Pizzarelli,,,,,
John Rolodex,,2025,,,
John Tejada,,2013,,,
John Tejada & Justin Maxwell,,2017,,,
John Vermont & Pablo Bolivar,,2017,,,
Johnny Corporate,,2010,,,
Johnny D,,2008,,,
Joint Force,,1995,,,
Joker,,2018,,,
Jokers Of The Scene,,2008,,,
Jokers of the Scene,,2009,,,
Joli Dragon,,2010,,,
Jolyon Petch & Sam Hill vs Th'Dudes,NZ,2010,NZ,,
Jon Cutler,,2009,,,
Jon Gurd,,,,,
Jon Hopkins,,2018,,,
Jon Hopkins & ANNA,,2022,,,
Jon Hopkins & HAAi,,2022,,,
Jon Kennedy,,2010,,,
Jon Kong & Chris Aidy,,2013,,,
Jonah Parzen-Johnson & Lau Nau,,2025,,,
Jonas Kopp,,2021,,,
Jonny3snares,,2023,,,
Joran Van Pol,,2021,,,
"Jordi Savall, Hespèrion XXI, Driss El Maloumi & Waed Bouhassoun",,2016,,,
Jorgensen,NZ,2007,NZ,,
Joris Delacroix,,2018,,,
Joris Voorn,,2019,,,
Jos & Eli,,2024,,,
Joseph Marinetti,,2013,,,
Josh Butler,,2018,,,
Josh Butler & Bontan,,2017,,,
Josh Butler & Hauswerks,,2016,,,
Josh Wink,,2010,,,
Joshua James,,2022,,,
Joshua Redman,,1993,,,
Josi Devil,,2025,,,
Jousey,NZ,2025,NZ,,
Joy Orbison,,2024,,,
Joyce Muniz,,2019,,,
Joyhauser,,2024,,,
Juaan,,2025,,,
Juan Atkins & Model 500,,1985,,,
"Juan Atkins, Moritz von Oswald & Borderland",,2017,,,
Juan Cernadas,,2025,,,
Juan Kidd,,2013,,,
Juan Sanchez,,2021,,,
Jubilee,,2025,,,
Juice WRLD,,2018,,,
Jules & Moss,,2014,,,
Julia Kent,,2019,,,
Julian Gray & Ronald Pearl,,1997,,,
Julian Jeweil,,2019,,,
Julian Wassermann,,2018,,,
Julianna Barwick,,2016,,,
Julie McKnight,,2014,,,
Julio Bashmore,,2023,,,
Julion Wright,,2023,,,
Jump Source,,2024,,,
"Jump Source, Patrick Holland & Priori",,2024,,,
Jungle Brothers & Ali B,,2006,,,
Juni,NZ,2026,NZ,,
Juni & Reasxn,NZ,2025,NZ,,
Junior Boys,,2006,,,
Junior Delgado,,1981,,,
Junior Murvin,,1976,,,
Junkie XL,,2009,,,
Juno Mamba,,2021,,,
Junus Orca,NZ,2021,NZ,,"Ambient; Electronica; Techno"
Junus Orca & Keanu Raves,,2024,,,
Junus Orca & Vatta,,2023,,,
Jurassic 5,,2000,,,
Just,,2012,,,
Just A Band,,2009,,,
Just Banks,,2010,,,
Just Be,,2014,,,
Just Jack,,2006,,,
Justice,,2007,,,
Justin Carey,,2013,,,
Justin Faust,,2010,,,
Justin Harris,,2007,,,
Justin Jay,,2021,,,
Justin Le Grand,,2006,,,
Justin Martin,,2022,,,
Justin Martin & Ardalan,,2011,,,
Justin Martin & Claude VonStroke,,2009,,,
Justin Martin & Leroy Peppers,,2013,,,
Justin Martin & Will Clarke,,2018,,,
Justin Martin vs Ardalan,,2012,,,
Justin Martin vs Leroy Peppers,,2012,,,
Juxta Position,,2017,,,
Jóhann Jóhannsson,,2015,,,
K+Lab vs. Funkdamunk,NZ,2012,NZ,,
K-HAND,,2018,,,
K-LONE,,2024,,,
K-Lab,NZ,2011,NZ,,
K. Leimer,,2014,,,
KOI,,2025,,,
KR!Z,,2023,,,
KRS-One,,2003,,,
KURUPT FM,,2016,,,
Kade B & Angry Suzy,,2023,,,
Kadebostan & Laolu,,2014,,,
Kadyn Webster,NZ,2023,NZ,,"Breakbeat; Techno"
Kae Tempest,,2014,,,
Kaiju,,2013,,,
Kaiserdisco,,2018,,,
Kaishandao,NZ,2025,NZ,,
Kaitlyn Aurelia Smith,,2016,,,
Kali Uchis,,2018,,,
Kameliia & Rødhåd,,2025,,,
Kamilo Sanclemente,,2025,,,
Kane Spindler,NZ,2025,NZ,,
Kanka,,2021,,,
Kara-Lis Coverdale,,2017,,,
Kardek,,2007,,,
Karen Ramirez,,1997,,,
Karenn,,2024,,,
Karmon,,2018,,,
Kaskade,,2006,,,
Kaskade & John Dahlback ft. Sansa,,2014,,,
Kaspar (De),,2023,,,
Kasper Bjorke,,2010,,,
Kasper Marott,,2023,,,
Kassa Overall,,2025,,,
Kassian,,2025,,,
Katatonic Silentio,,2021,,,
Kate Miller,,2025,,,
Kate NV,,2018,,,
Kathia Rudametkin,,2024,,,
"Kathia Rudametkin, Fax & Rodo",,2023,,,
Kathy Brown,,2006,,,
Katona Twins,,2002,,,
"Katona Twins, Rotterdam Chamber Orchestra & Conrad van Alphen",,2002,,,
Katy Perry,,2009,,,
Kazuma Okabayashi,,2025,,,
Keanu Raves,NZ,2024,NZ,,"Breakbeat; Techno"
Keanu Raves & Junus Orca,,2024,,,
Keepsakes,NZ,2026,NZ,,Techno
Keith Carnal,,2015,,,
"Kelbin, Thys",,2023,,,
Kele,,2010,,,
Kelevra,,2009,,,
Kelly Lee Owens,,2018,,,
Kennedy,NZ,2022,NZ,,
"Kennedy, Serpico",,2023,,,
Kenneth Bager,,2010,,,
Kenny Ground,,2013,,,
Kenny Raw,,2014,,,
Kenton Slash Demon,,2009,,,
Kepler,,2025,,,
Kerala Dust,,2017,,,
Kerri Chandler,,2017,,,
Kerri Chandler & Troy Denari,,2020,,,
Kessler,,2021,,,
Kevin Saunderson,,2008,,,
Kevin Yost,,2021,,,
Khruangbin,,2019,,,
Kiasmos,,2024,,,
Kid Cudi,,2011,,,
Kid Dub,,2009,,,
Kid Gloves,,2010,,,
Kid Komas,,2010,,,
Kid Kombat,,2013,,,
Kid Massive,,2006,,,
Kid Massive & Bass Kleph & Chris Arnott,,2010,,,
Kid Sister,,2010,,,
Kidda,,2009,,,
Kidnap,,2012,,,
Kids in Tracksuits,,2006,,,
Kidstuff,,2006,,,
Kidz In Space,NZ,2011,NZ,,
Kieran Apter & Leon Power,,2018,,,
Kilig,,2023,,,
Kill City,,2012,,,
Kill Frenzy,,2013,,,
Kill Light,,2010,,,
Kill the Noise & Feed Me,,2015,,,
Killa Queenz,,2009,,,
Kimba,,2014,,,
Kind of Green & Syzygy,,2022,,,
Kind of Green & Toronja,,2022,,,
King Roc,,2006,,,
King Tubby,,1998,,,
King Tubby & The Aggrovators,,2009,,,
King Unique,,2008,,,
Kingdom,,2012,,,
Kingpin Cartel,,2009,,,
Kings of Tomorrow,,2014,,,
Kingsland Housing Project,NZ,2001,NZ,,
Kink,,2017,,,
Kink & Raredub,,2025,,,
Kirk Degiorgio pres. Esoterik,,2006,,,
Kisch,,2016,,,
Kissy Sell Out,,2009,,,
Kito Jempere,,2015,,,
Klaudia Gawlas,,2021,,,
Klaus Heavyweight Hill,,2007,,,
Klaxons,,2007,,,
Klint,,2014,,,
Klippans House,,2023,,,
Klockworks,,2008,,,
Klubb Anthem,,2005,,,
Klute,,1998,,,
Knee Deep,,2006,,,
Knee Deep pres. Upper Class,,2006,,,
Knight & Dahe,,2012,,,
Knowlton Walsh,,2009,,,
Kodály Quarte,,1990,,,
Koen Groeneveld,,2017,,,
Koincide,NZ,2011,NZ,,
Kolab,NZ,2011,NZ,,
Kollektiv Turmstrasse,,2016,,,
Kolombo,,2018,,,
Kolter,,2023,,,
Koma & Bones,,2007,,,
Konduku,,2024,,,
Kool & The Gang,,1979,,,
Kora,NZ,2007,NZ,,
Kosh,,2024,,,
Kraak & Smaak,,2007,,,
Krafty Kuts,,2007,,,
Krafty Kuts & DJ Icey,,2007,,,
KreeYate,,2009,,,
Krftkds,,2011,,,
Kris Wadsworth,,2012,,,
Kritical Audio,,2005,,,
Kronos Quartet,,2012,,,
Krystal Klear,,2013,,,
Kuniyuki Takahashi,,2018,,,
Kunterbunt,,2011,,,
Kurd Maverick,,2008,,,
Kursa & Sepia,,2024,,,
Kut & Swel,,2008,,,
Kwengerz,,2023,,,
Kyle Bourke,NZ,2011,NZ,,
Kyle Watson,,2017,,,
Kylie Minogue,,2007,,,
KÉDU CARLÖ & Elizaveta Novichok,,2021,,,
Kölsch,,2014,,,
Kōroto,NZ,2024,NZ,,
L-Side & Sl8r,,2020,,,
L-VIS 1990,,2009,,,
L-Vis 1990,,2010,,,
LA Riots,,2010,,,
LAZRtag,,2009,,,
LCD Soundsystem,,2007,,,
LCY,,2021,,,
LDS,,2025,,,
LEISURE,,2022,NZ,https://musicbrainz.org/artist/f67d22da-7fe8-40f8-8495-b903e74fd094,
LIGHTLEAK,,2026,,,
LL TON J,,2011,,,
LO'99,,2014,,,
LPZ,,2025,,,
LTJ XPerience,,2012,,,
LUXE,,2022,,,
LX One & Youngsta,,2013,,,
La Banda Bastön,,2013,,,
La Dooda,,2014,,,
La Roux,,2009,,,
"La Rêveuse, Benjamin Perrot, Sébastien Wonner & Florence Bolton",,2017,,,
La Serenissima,,2006,,,
Lady Gaga,,2008,,,
Lady Gaga & Gesaffelstein,,2025,,,
Lady Starlight,,2023,,,
Lady Starlight & Rødhåd,,2020,,,
Ladyhawke,NZ,2009,NZ,,
Ladytron,,2010,,,
Laidback Luke,,2008,,,
Lainey,NZ,2020,NZ,,
Lake People,,2018,,,
Lanark Artefax,,2017,,,
Larry Powers,,2010,,,
Larry Tee,,2009,,,
Larry Tee (ft. Princess Superstar),,2007,,,
Larse,,2014,,,
Last Magpie,,2012,,,
Latmun & Wheats,,2021,,,
Laugh 'n' Gas,NZ,1997,NZ,,
Lauren Lane,,2016,,,
Laurence Pike,,2024,,,
Laurie Anderson,,2020,,,
Laurie Spiegel,,1980,,,
Lava Lava,,,,,
Lavinia Meijer,,2016,,,
LawnChair Generals,,2005,,,
Layo & Bushwacka,,2002,,,
Layton Giordani,,2017,,,
Lazy Jay,,2010,,,
Lazy Rich,,2009,,,
Lazy Rokkaz,,2007,,,
Lazyboy,,2005,,,
Le Castle Vania,,2007,,,
Le Knight Club,,2002,,,
Le Tigre,,2001,,,
LeBreton,,2012,,,
Leader,,2007,,,
Led Zeppelin,,1969,,,
Lee Cabrera vs Thomas Gold,,2013,,,
Lee Foss,,2018,,,
Lee Foss & EDDY M.,,2020,,,
Lee Jones,,2017,,,
Lee Mortimer,,2010,,,
Lee Mortimer & Foamo,,2011,,,
Lee Mortimer & Laidback Luke,,2010,,,
Lee Mortimer pres. Tymer,,2012,,,
Lee Mortimer vs M&S,,2010,,,
"Leeroy Thornhill, Max Lyazgin, Hugobeat & SevenEver",,2017,,,
Leigh Wilkinson,,,,,
Len Faki,,2024,,,
Len Faki & Juxta Position,,2019,,,
Len Faki & Regal,,2016,,,
Lena Cullen,,2013,,,
Lenny Kiser,,2017,,,
Leo McKinnon,NZ,2025,NZ,,
Leon Jean-Marie,,2008,,,
Leon Vynehall,,2021,,,
Leonardo Gonnelli & Ernest & Frank,,2019,,,
Les Chambristes de Ville-Marie,,1994,,,
Les Gillettes,,2010,,,
"Les Ombres, Margaux Blanchard & Sylvain Sartre",,2012,,,
Les Rythmes Digitales,,2005,,,
Letherette,,2017,,,
Levity,,2024,,,
Lewis Cancut,,2012,,,
Lianne La Havas,,2013,,,
Libex,,2010,,,
Library Tapes,,2022,,,
Lifelike & Kris Menace,,2006,,,
Light Year,,2012,,,
Like Woah!,,2007,,,
Lil' Keke,,2006,,,
Lily Allen,,2009,,,
Lina Filipovich,,2024,,,
Linda Clifford,,1995,,,
Lindstrom,,2012,,,
Lindstrom & Christabelle,,2009,,,
Linus Loves,,2005,,,
Liquid DnB-like Ambient Grime 2,,2024,,,
Lisière Collectif,,2017,,,
Little Boots,,2013,,,
Little Jinder,,2008,,,
Little Simz,,2022,,,
Little T,,2013,,,
Livio & Roby,,2018,,,
Loaded Honey,,2023,,,
Locked Groove,,2019,,,
Loco Dice,,2021,,,
Locuste,NZ,1997,NZ,,
Loefah,,2020,,,
Logic1000,,2025,,,
London Grammar,,2013,,,
London Modular Alliance,,2021,,,
Lone,,2022,,,
Long & Harris,,2013,,,
Loopmasters,,,,,
Loose Cannons & Peo De Pitte,,2010,,,
Loose Shus,,2009,,,
Loraine James,,2020,,,
Lorcan Mak,,2011,,,
Lord Finesse,,1996,,,
Lord Leopard,,2021,,,
Lorde,,2018,NZ,https://musicbrainz.org/artist/8e494408-8620-4c6a-82c2-c2ca4a1e4f12,
Lords of the Underground,,1994,,,
Lorenz Rhode,,2010,,,
Loscil,,2022,,,
Loscil & Lawrence English,,2022,,,
Louie Vega,,2007,,,
Louis Botella,,2008,,,
Love & Electrik,,2009,,,
Love Remain,,2025,,,
Lovebirds,,2011,,,
Lovebirds & Vincenzo,,2009,,,
Loveys & Yusuf,,2009,,,
Low Flung,,2021,,,
Lowbrows,,2009,,,
Lowquid,NZ,2018,NZ,,Electronica
Lubelski & Wyatt Marshall,,2018,,,
Luca C & Brigante & Ali Love,,2011,,,
Luca Gaeta,,2019,,,
Luciano,,2012,,,
Luciano Garrido,,2018,,,
Lucien Johnson,,2021,NZ,https://musicbrainz.org/artist/7cf8abc7-ce1c-4ec2-b2ab-9183ea781be1,
Ludwig Coenen,,2007,,,
Luis Radio,,2024,,,
Lukas,,2012,NZ,https://musicbrainz.org/artist/e8b64851-7fec-4c9a-a9a4-1bbd11f62d57,
Luke Abbott,,2012,,,
Luke Dzierzek,,2008,,,
Luke Hess,,2017,,,
Luke Hess & Nina Kraviz,,2013,,,
Luke Sampson & Matt Prehn,,2024,,,
Luke Schneider,,2025,,,
Luke Vibert,,2021,,,
Luke Walker,NZ,2010,NZ,,
Luna City Express,NZ,2010,NZ,,
Lunar Disco,,2023,,,
Lunar Shift,,2010,,,
Lupe Fiasco,,2024,,,
Lusine,,2018,,,
Luuk Van Dijk,,2019,,,
Luvstuff,,2008,,,
Lux Groove,,2018,,,
Lykke Li,,2008,,,
M.A.N.D.Y & Booka Shade,,2010,,,
M.A.N.D.Y.,,2013,,,
M.I.A.,,2007,,,
M.I.T.C.H. ft. Uffie & Feadz,,2008,,,
M.O.P.,,2006,,,
M2MYU,NZ,2022,NZ,,House
M4A4,,2021,,,
MANTHYNG,NZ,2010,NZ,,
MARK BLAIR,,2018,,,
MARK BLAIR & BARBED WORLDWIDE,,2024,,,
MARU,,2016,,,
MATADOR,,2020,,,
MAW Presents India,,1999,,,
MAYAN (PT),,2025,,,
MC Gi & Edu K,,2010,,,
MDX,,2008,,,
"MELODOWNZ, Hyan & Caru",,2024,,,
"MELODOWNZ, Revus & Caru",NZ,2025,NZ,,
MF DOOM,,2011,,,
MGMT,,2009,,,
MONSS,,2022,,,
MOTION,,2019,,,
MOY,,2023,,,
MSTRKRFT,,2009,,,
MYNC & Wally Lopez,,2012,,,
MYNC Project,,2006,,,
Ma Haiping,,2021,,,
Maara,,2023,,,
Macca,,2006,,,
Maceo Plex,,2011,,,
Machinedrum,,2013,,,
Machines Don't Care,,2008,,,
Mad Professor,,1993,,,
Madam X & Cartridge,,2024,,,
Madam X & DJ JM,,2024,,,
Madonna,,1986,,,
Maeksll,,2024,,,
Maeksll & ZIMA,,2024,,,
Maelstrom,,2012,,,
Maetrik,,2011,,,
Mafia Kiss,,2016,,,
Magda,,2007,,,
Magik J,,2013,NZ,https://musicbrainz.org/artist/191ef50a-459d-4459-9678-97ed2634b4e8,
Magik Johnson,NZ,2012,NZ,,
Magnifik,,2013,,,
"Magnus Persson, Johan Liljedahl, Mats Bergström, Svante Henryson & Jonas Ostholm",,2012,,,
Maiki & Alex Rubia,,2016,,,
Main Phase,,2024,,,
Majool,,2007,,,
Major Lazer,,2014,,,
Major Lazer & Mungo's Hi Fi,,2014,,,
Makam,,2017,,,
Malente,,2009,,,
Malente & Dex,,2009,,,
Malente & Jay Robinson ft. Yo Majesty,,2011,,,
Malin Genie,,2021,,,
Mall Grab,,2022,,,
Malte Marten Meditations,,2024,,,
Mambo Brothers,,2017,,,
Manare,,2013,,,
Manasseh,,2004,,,
Manasseh & The Equaliser,,2014,,,
Manhattan Transfer,,1992,,,
Manik,,2014,,,
Mankinde,,2014,,,
Mano Le Tough,,2015,,,
Mantra,,2024,,,
Manu C,,2011,,,
Manu Dia & Lizzy Land,,2022,,,
Manudigital & George Palmer,,2015,,,
Manuel De Lorenzi,,2007,,,
Manuel Tur,,2015,,,
Marc Adamo & Tim Healey,,2009,,,
Marc Houle,,2006,,,
Marc Leaf & Drew Scott,,2008,,,
Marc Maya,,2016,,,
Marc Minkowski & Les Musiciens du Louvre,,2005,,,
Marc Monka,,2025,,,
Marc Romboy & André Winter,,2024,,,
"Marc Romboy, Rodriguez Jr.",,2012,,,
Marcal,,2025,,,
Marcel Dettmann,,2025,,,
Marcela Dias Sindaco,,2025,,,
Marcella,,2007,,,
Marcelo Antonio,,2026,,,
Marcelus,,2011,,,
Marco Del Horno,,2014,,,
Marco Effe,,2019,,,
Marco Lys,,2019,,,
Marco Resmann,,2025,,,
Marco Shuttle,,2025,,,
Marco Strous & Gabe,,2023,,,
Marcus Intalex,,2011,,,
Maribou State,,2011,,,
Marie Davidson,,2019,,,
Marie Davidson & L’Œil Nu,,2021,,,
Marie-Ange Nguci,,2017,,,
Mariel Ito,,2018,,,
Marino Canal,,2018,,,
Mario Bianco,,2022,,,
Mario Ochoa,,2014,,,
Mark Almaria,,2006,,,
Mark Batch & Alf Bamford,,2011,,,
Mark Broom,,2010,,,
Mark Brown,,2008,,,
Mark Fanciulli,,2013,,,
Mark Farina,,2004,,,
Mark Knight,,2013,,,
Mark Knight & Adam K & Soha,,2008,,,
Mark Knight & Adrian Hour,,2010,,,
Mark Knight ft. Katherine Ellis,,2006,,,
"Mark Knight, Green Velvet & René Amesz",,2023,,,
Mark Morrison,,2003,,,
Mark Pritchard,,2018,,,
Mark Ronson,,2012,,,
Mark Ronson ft. Daniel Merriweather,,2007,,,
Mark du Mosch,,2009,,,
Markus Homm,,2025,,,
Markus Homm & Benny Grauer,,2020,,,
Markus Homm & Nici Faerber,,2025,,,
Marschmellows,,2007,,,
Marshall Jefferson vs. Noosa Heads,,1998,,,
Marsolo,,2024,,,
Martijn Ten Velden,,2006,,,
Martin Books,,2019,,,
Martin Books & Alfred Heinrichs,,2012,,,
Martin Buttrich,,2008,,,
Martin Eyerer,,2021,,,
Martin Eyerer & Alexkid,,2024,,,
Martin Eyerer & Craig Walker,,2022,,,
Martin Garrix & Jay Hardway,,2014,,,
Martin Solveig,,2004,,,
Martyn,,2019,,,
Martyn Bootyspoon,,2023,,,
Martyn Negro,,2012,,,
Maru,,2012,,,
Marvin & Guy,,2019,,,
Mary Jane Leach,,2018,,,
Mashup Kids,,2007,,,
Mason,,2010,,,
Mason vs. Princess Superstar,,2007,,,
Massive Attack,,2006,,,
Masters At Work,,1999,,,
Mat Cant & Scattermish,,2009,,,
Mat.Joe,,2012,,,
Mateo Murphy,,2018,,,
Mathame,,2019,,,
Mathias Kaden,,2024,,,
Matipo Pyramid,NZ,1997,NZ,,
Matrixxman,,2017,,,
Mats Bergström,,2012,,,
Matt & Kim,,2007,,,
Matt Shrewd,,2007,,,
Matt Smallwood,,2013,,,
Matt Wilson,,2007,,,
Matt and Kim,,2011,,,
Matthew Anthony,,2015,,,
Matthew Codek,,2013,,,
Matthias Bamert & London Mozart Players,,1994,,,
Matthias Meyer,,2009,,,
Matthias Tanzmann,,2019,,,
Matty G & Reeps,NZ,2010,NZ,,
Maty Owl,,2018,,,
Mau P,,2023,,,
Maurice & DHS,,2010,,,
Maurice Steger & Instrumental Ensemble,,2016,,,
Maurizio,,1997,,,
Max Bett,,2011,,,
Max Bett & Manu C,,2010,,,
Max Cooper,,2025,,,
Max Cooper & Tom Hodge,,2016,,,
Max Morrell,,2009,,,
Max Richter,,2014,,,
Max Richter Orchestra & Lorenz Dangel,,2004,,,
"Max Richter, Daniel Hope, Konzerthaus Kammerorchester Berlin & André de Ridder",,2012,,,
"Max Richter, Daniel Hope, Raphael Alpermann, Konzerthaus Kammerorchester Berlin & André de Ridder",,2012,,,
"Max Richter, Konzerthaus Kammerorchester Berlin & André de Ridder",,2012,,,
"Max Richter, Louisa Fuller, Natalia Bonner, John Metcalfe, Philip Sheppard & Chris Worsey",,2004,,,
"Max Richter, Tilda Swinton, Louisa Fuller, Natalia Bonner, John Metcalfe, Philip Sheppard & Chris Worsey",,2004,,,
Maxim Lany,,2022,,,
Maxwell Quartet,,2025,,,
Maya Fourteen,,2024,,,
Maya Jane Coles,,2017,,,
MayaVanya,NZ,2011,NZ,,
MayaVanya ft. Magik J,,2010,,,
Mayan / Ana Rita,,2023,,,
Maz,,2018,,,
McCoy Tyner,,,,,
Meat Katie & D Ramirez,,2007,,,
"Meca, Puka & Wasiu",,2024,,,
Medcab,,2008,,,
Medium Things,,2010,,,
Megra,,2024,,,
"Megra, Cameo Blush & Rose Gray",,2024,,,
Mekkah ft. Bryan Chambers,,2006,,,
Mel Blue & Sycco,,2025,,,
